,Compound,Date,Negative,Neutral,News Channel,Positive,Tweet Text,Tweets Ago
127,-0.0531,Wed Sep 19 19:07:37 +0000 2018,0.588,0.236,@CBS,0.176,The @latelateshow and @JKCorden will never be good enough for @henrygolding's crazy rich mom.… https://t.co/xVmH5Iyfvs,28
128,0.6486,Tue Sep 18 17:04:20 +0000 2018,0.791,0.0,@CBS,0.209,RT @CBSThisMorning: Imagine receiving a digital friend request from someone claiming to be God. What would you do? The new @CBS drama @GodF…,29
129,0.9642,Mon Sep 17 22:01:52 +0000 2018,0.473,0.0,@CBS,0.527,"RT @PriceIsRight: We're thrilled to be back with all new, fun, and exciting shows!!  We hope to give you another award winning season! HERE…",30
130,0.0,Mon Sep 17 21:41:20 +0000 2018,1.0,0.0,@CBS,0.0,RT @SalvationCBS: X marks the spot on the heart-stopping season finale of #SalvationCBS tonight at 9/8c on CBS &amp; CBS All Access: https://t.…,31
131,0.3612,Mon Sep 17 19:18:37 +0000 2018,0.737,0.0,@CBS,0.263,Waiting for tonight's @Elementary_CBS season finale like https://t.co/Ou8342vGT9,32
132,-0.2263,Sun Sep 16 23:48:59 +0000 2018,0.909,0.091,@CBS,0.0,"Due to an NFL overrun, the CBS Sunday lineup is delayed in the East/Central cities ONLY. New start times:… https://t.co/IypoJ0l16P",33
133,0.0,Sun Sep 16 14:33:46 +0000 2018,1.0,0.0,@CBS,0.0,RT @CBSAllAccess: Sundays were made for NFL on CBS. 🏈💯 Stream NFL on CBS All Access live today: https://t.co/vsod8jGE7N https://t.co/co2528…,34
134,-0.4322,Sat Sep 15 16:00:01 +0000 2018,0.771,0.159,@CBS,0.07,"What happens when a PTA mom steals nearly $100,000 from her daughter's school? Don't miss the #PinkCollarCrimes sea… https://t.co/Gjiy0pByaE",35
135,-0.2481,Fri Sep 14 18:22:59 +0000 2018,0.598,0.233,@CBS,0.17,"RT @CBSAllAccess: No internet, no problem. You can now download and play your favorite shows on CBS All Access! 🙌 Learn how: https://t.co/y…",36
136,0.0,Thu Sep 13 20:52:06 +0000 2018,1.0,0.0,@CBS,0.0,@PlaggemeyLee Mac's putting something together. 😉 https://t.co/6ww5HlV6Bx,37
137,0.0,Thu Sep 13 20:28:06 +0000 2018,1.0,0.0,@CBS,0.0,This just in... https://t.co/QG3OYF6Rfv,38
138,0.4753,Thu Sep 13 18:06:49 +0000 2018,0.699,0.083,@CBS,0.218,RT @CBSAllAccess: Get excited! Stream original #MurphyBrown episodes for a limited time on CBS All Access before the @MurphyBrownCBS reviva…,39
139,0.0,Mon Sep 10 17:06:16 +0000 2018,1.0,0.0,@CBS,0.0,"This just in! The 54th #ACMawards will air LIVE from Las Vegas on Sunday, April 7, 2019 at 8/7c on CBS and… https://t.co/Q9e7qxe26l",40
